model in favor,model against,trigger,SD,BF,log(BF)
model_pri,model_Int,xor,0.05,0.1043,-2.2602
model_rel,model_Int,xor,0.05,0.0388,-3.2483
model_comp,model_Int,xor,0.05,0.231,-1.4653
model_rel_comp,model_Int,xor,0.05,0.0346,-3.3625
model_pri_comp,model_Int,xor,0.05,0.1166,-2.1494
model_rel_pri,model_Int,xor,0.05,0.0097,-4.6333
model_pri_rel_comp,model_Int,xor,0.05,0.0039,-5.5536
model_pri,model_Int,xor,0.1,0.0563,-2.8764
model_rel,model_Int,xor,0.1,0.0309,-3.4755
model_comp,model_Int,xor,0.1,0.2167,-1.5291
model_rel_comp,model_Int,xor,0.1,0.0267,-3.6243
model_pri_comp,model_Int,xor,0.1,0.0624,-2.7741
model_rel_pri,model_Int,xor,0.1,0.0033,-5.7042
model_pri_rel_comp,model_Int,xor,0.1,7e-4,-7.2492
model_pri,model_Int,xor,0.15,0.04,-3.2188
model_rel,model_Int,xor,0.15,0.0273,-3.6024
model_comp,model_Int,xor,0.15,0.2015,-1.6019
model_rel_comp,model_Int,xor,0.15,0.0171,-4.067
model_pri_comp,model_Int,xor,0.15,0.0401,-3.2162
model_rel_pri,model_Int,xor,0.15,0.0016,-6.4413
model_pri_rel_comp,model_Int,xor,0.15,1e-4,-9.0247
