submission_id,title,main_type,block_extended,response,block_mean,block_sd,response_centered
2620,Grandma,xor,relevance,61,57.625,42.7682709493849,0.07891364147019696
2620,Grandma,xor,competence,0,47.375,46.30006942296554,-1.0232166083211374
2620,Grandma,xor,prior,50,24.375,31.332035180808614,0.8178530329142403
2620,Grandma,xor,target,100,100,0,0
2620,Champagne reception,some,relevance,8,57.625,42.7682709493849,-1.1603228023580812
2620,Champagne reception,some,competence,0,47.375,46.30006942296554,-1.0232166083211374
2620,Champagne reception,some,prior,0,24.375,31.332035180808614,-0.7779577630159846
2620,Champagne reception,some,target,100,100,0,0
2620,Final exam,some,relevance,100,57.625,42.7682709493849,0.9908046095702507
2620,Final exam,some,competence,10,47.375,46.30006942296554,-0.8072342107863326
2620,Final exam,some,prior,0,24.375,31.332035180808614,-0.7779577630159846
2620,Final exam,some,target,100,100,0,0
2620,Alissa's paint,xor,relevance,0,57.625,42.7682709493849,-1.3473773599170666
2620,Alissa's paint,xor,competence,50,47.375,46.30006942296554,0.05669537935288624
2620,Alissa's paint,xor,prior,80,24.375,31.332035180808614,1.775339510472375
2620,Alissa's paint,xor,target,100,100,0,0
2620,Harvard admission exams,some,relevance,100,57.625,42.7682709493849,0.9908046095702507
2620,Harvard admission exams,some,competence,19,47.375,46.30006942296554,-0.6128500530050084
2620,Harvard admission exams,some,prior,0,24.375,31.332035180808614,-0.7779577630159846
2620,Harvard admission exams,some,target,100,100,0,0
2620,Mrs. Gibbs' worry,xor,relevance,72,57.625,42.7682709493849,0.33611365811380184
2620,Mrs. Gibbs' worry,xor,competence,100,47.375,46.30006942296554,1.13660736702691
2620,Mrs. Gibbs' worry,xor,prior,15,24.375,31.332035180808614,-0.29921452423691713
2620,Mrs. Gibbs' worry,xor,target,100,100,0,0
2620,Crush,xor,relevance,100,57.625,42.7682709493849,0.9908046095702507
2620,Crush,xor,competence,100,47.375,46.30006942296554,1.13660736702691
2620,Crush,xor,prior,50,24.375,31.332035180808614,0.8178530329142403
2620,Crush,xor,target,100,100,0,0
2620,Mrs. Todd's math exams,some,relevance,20,57.625,42.7682709493849,-0.8797409660196032
2620,Mrs. Todd's math exams,some,competence,100,47.375,46.30006942296554,1.13660736702691
2620,Mrs. Todd's math exams,some,prior,0,24.375,31.332035180808614,-0.7779577630159846
2620,Mrs. Todd's math exams,some,target,100,100,0,0
2619,Crush,xor,relevance,84,61.25,23.70503261817143,0.9597118201204525
2619,Crush,xor,competence,85,79.375,16.95319186129014,0.33179592645581824
2619,Crush,xor,prior,26,43.625,21.967102026179315,-0.8023361469799425
2619,Crush,xor,target,100,100,0,0
2619,Leo's prize,xor,relevance,52,61.25,23.70503261817143,-0.39021249829073346
2619,Leo's prize,xor,competence,68,79.375,16.95319186129014,-0.6709650957217658
2619,Leo's prize,xor,prior,58,43.625,21.967102026179315,0.6543876376077545
2619,Leo's prize,xor,target,100,100,0,0
2619,Tony's clubbing,xor,relevance,80,61.25,23.70503261817143,0.7909712803190543
2619,Tony's clubbing,xor,competence,87,79.375,16.95319186129014,0.44976781141788696
2619,Tony's clubbing,xor,prior,33,43.625,21.967102026179315,-0.4836778191013838
2619,Tony's clubbing,xor,target,100,100,0,0
2619,Youth hostel,some,relevance,47,61.25,23.70503261817143,-0.6011381730424813
2619,Youth hostel,some,competence,100,79.375,16.95319186129014,1.2165850636713336
2619,Youth hostel,some,prior,50,43.625,21.967102026179315,0.2902066914608303
2619,Youth hostel,some,target,100,100,0,0
2619,Harvard admission exams,some,relevance,100,61.25,23.70503261817143,1.6346739793260456
2619,Harvard admission exams,some,competence,90,79.375,16.95319186129014,0.6267256388609901
2619,Harvard admission exams,some,prior,11,43.625,21.967102026179315,-1.4851754210054255
2619,Harvard admission exams,some,target,100,100,0,0
2619,Dinosaurs,some,relevance,46,61.25,23.70503261817143,-0.6433233079928309
2619,Dinosaurs,some,competence,45,79.375,16.95319186129014,-2.027641772785556
2619,Dinosaurs,some,prior,56,43.625,21.967102026179315,0.5633424010710235
2619,Dinosaurs,some,target,100,100,0,0
2619,Gift unwrapping,some,relevance,50,61.25,23.70503261817143,-0.4745827681914326
2619,Gift unwrapping,some,competence,86,79.375,16.95319186129014,0.39078186893685263
2619,Gift unwrapping,some,prior,81,43.625,21.967102026179315,1.7014078577801617
2619,Gift unwrapping,some,target,100,100,0,0
2619,Jimmy's trip,xor,relevance,31,61.25,23.70503261817143,-1.2761003322480744
2619,Jimmy's trip,xor,competence,74,79.375,16.95319186129014,-0.3170494408355597
2619,Jimmy's trip,xor,prior,34,43.625,21.967102026179315,-0.43815520083301823
2619,Jimmy's trip,xor,target,100,100,0,0
2618,Danny's racket,xor,relevance,16,54.625,39.409706926086116,-0.9800884861296265
2618,Danny's racket,xor,competence,93,59.5,43.4774161408623,0.7705149701505601
2618,Danny's racket,xor,prior,74.5,35.5625,28.36803721998203,1.3725835065026282
2618,Danny's racket,xor,target,0,54.875,43.67554889670617,-1.2564238203343667
2618,Crime,xor,relevance,57,54.625,39.409706926086116,0.06026434057107736
2618,Crime,xor,competence,0,59.5,43.4774161408623,-1.3685265887748754
2618,Crime,xor,prior,52.5,35.5625,28.36803721998203,0.5970628094096504
2618,Crime,xor,target,29,54.875,43.67554889670617,-0.5924367444401228
2618,Hippies,xor,relevance,7,54.625,39.409706926086116,-1.208458618820025
2618,Hippies,xor,competence,100,59.5,43.4774161408623,0.9315180982417219
2618,Hippies,xor,prior,29.5,35.5625,28.36803721998203,-0.21370882846028078
2618,Hippies,xor,target,4,54.875,43.67554889670617,-1.1648393960730916
2618,Tail-donkey blindfold,some,relevance,92,54.625,39.409706926086116,0.948370412144849
2618,Tail-donkey blindfold,some,competence,100,59.5,43.4774161408623,0.9315180982417219
2618,Tail-donkey blindfold,some,prior,21,35.5625,28.36803721998203,-0.5133418250643859
2618,Tail-donkey blindfold,some,target,100,54.875,43.67554889670617,1.0331867861975088
2618,Champagne reception,some,relevance,15,54.625,39.409706926086116,-1.0054629453174486
2618,Champagne reception,some,competence,0,59.5,43.4774161408623,-1.3685265887748754
2618,Champagne reception,some,prior,0,35.5625,28.36803721998203,-1.25361158138041
2618,Champagne reception,some,target,75,54.875,43.67554889670617,0.46078413456454
2618,Suzy's fruits,some,relevance,100,54.625,39.409706926086116,1.1513660856474253
2618,Suzy's fruits,some,competence,80,59.5,43.4774161408623,0.4715091608384025
2618,Suzy's fruits,some,prior,24,35.5625,28.36803721998203,-0.4075890027335252
2618,Suzy's fruits,some,target,31,54.875,43.67554889670617,-0.5466445323094853
2618,Chloe's holiday,xor,relevance,50,54.625,39.409706926086116,-0.11735687374367697
2618,Chloe's holiday,xor,competence,27,59.5,43.4774161408623,-0.7475145232803941
2618,Chloe's holiday,xor,prior,74,35.5625,28.36803721998203,1.3549580361141513
2618,Chloe's holiday,xor,target,100,54.875,43.67554889670617,1.0331867861975088
2618,Final exam,some,relevance,100,54.625,39.409706926086116,1.1513660856474253
2618,Final exam,some,competence,76,59.5,43.4774161408623,0.3795073733577386
2618,Final exam,some,prior,9,35.5625,28.36803721998203,-0.9363531143878282
2618,Final exam,some,target,100,54.875,43.67554889670617,1.0331867861975088
2617,Violinist,some,relevance,58,53,4.65985898008574,1.0729938440986901
2617,Violinist,some,competence,51,61.875,13.53764592323411,-0.8033154406362246
