title,block,mean_deviation
Alex's racket,prior,61.833333333333336
Alex's racket,relevance,54.8
Alissa's paint,competence,54.166666666666664
Attendance,prior,82.85714285714286
Bill's order,prior,52.666666666666664
Brad Pitt,competence,52.333333333333336
Brad's clothes,relevance,65.61538461538461
Brad's clothes,prior,58.61538461538461
College,competence,50.95454545454545
Crime,prior,51.35
Dave's kids,relevance,52
Emails from a broken laptop,relevance,62.36363636363637
Gerald's graduation,competence,51.392857142857146
Gift unwrapping,prior,60.30769230769231
Gourmet desserts,prior,53.8
Gourmet desserts,relevance,53.7
Greg's movie,competence,58.59090909090909
Greg's movie,prior,53.81818181818182
Greg's movie,relevance,52.90909090909091
Harry Potter,prior,74.46666666666667
Harvard admission exams,prior,69.5
Health inspector,relevance,73.78571428571429
Health inspector,competence,50
Hotel check,prior,68.18181818181819
Jimmy's trip,competence,60.38461538461539
Joshua's delay,relevance,66.84615384615384
Leo's prize,competence,52.8125
Lily's husband,relevance,63.857142857142854
Martha's cookies,competence,51.5
Mrs Gibbs' worry,prior,67.3
Pete's presents,prior,51.81818181818182
Picnic pictures,competence,57.416666666666664
Rabbits,competence,60
Restaurant,prior,68.85714285714286
Rumors,prior,51.8125
Shelter,prior,84.57142857142857
Shelter,relevance,62.5
Shelter,competence,54.107142857142854
Star Trek expert quiz,prior,61.25
Suzy's fruits,prior,65
Suzy's fruits,relevance,50.84375
Swiss watch prototype testing,prior,76.42105263157895
The game,prior,71
The game,competence,50.875
Underage drinking,relevance,91.16666666666667
Violinist,prior,61.4
Youth hostel,prior,60.77777777777778
