N_subj,effect,power
50,competence,0.324
50,prior,0.173
50,relevance,0.083
60,competence,0.376
60,prior,0.193
60,relevance,0.089
70,competence,0.411
70,prior,0.232
70,relevance,0.095
80,competence,0.456
80,prior,0.248
80,relevance,0.105
90,competence,0.494
90,prior,0.269
90,relevance,0.119
100,competence,0.524
100,prior,0.295
100,relevance,0.112
110,competence,0.573
110,prior,0.324
110,relevance,0.12
120,competence,0.621
120,prior,0.355
120,relevance,0.113
130,competence,0.69
130,prior,0.367
130,relevance,0.129
140,competence,0.74
140,prior,0.41
140,relevance,0.142
150,competence,0.762
150,prior,0.431
150,relevance,0.143
160,competence,0.782
160,prior,0.439
160,relevance,0.15
170,competence,0.805
170,prior,0.455
170,relevance,0.153
180,competence,0.812
180,prior,0.497
180,relevance,0.163
190,competence,0.835
190,prior,0.504
190,relevance,0.163
200,competence,0.843
200,prior,0.522
200,relevance,0.169
